title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
Lion,https://www.imdb.com/title/tt3741834/?ref_=ev_csegosc_nom,2017,1,0,0,0,1,0,1,0,0,0,0,41,6,1,5,2,3,0,5,2,0,0,0,0,0,0,3,2,2,0,2,0,33,10,63,16,15,9,17,7,2,30,23,11,14,2,7,2,2,1,6,1,93,71
Manchester by the Sea,https://www.imdb.com/title/tt4034228/?ref_=ev_csegosc_nom,2017,1,0,1,0,1,0,1,0,1,0,0,73,9,2,7,2,6,1,15,4,1,0,2,1,0,0,7,3,5,4,10,3,68,15,122,72,30,26,8,2,8,27,29,9,9,0,9,2,0,0,3,0,60,36
Spotlight,https://www.imdb.com/title/tt1895587/?ref_=ev_csegosc_nom,2016,1,1,1,0,1,0,1,0,1,1,1,154,7,0,6,0,7,3,21,10,0,0,1,1,1,0,5,2,8,16,11,3,42,24,77,34,18,17,1,2,14,33,42,12,15,1,20,3,2,1,0,0,37,38
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=ev_csegosc_nom,2016,1,0,1,1,1,1,1,0,0,0,0,79,3,1,2,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,3,1,29,6,66,26,24,9,20,3,6,19,20,9,21,12,11,4,1,0,2,1,56,38
Room,https://www.imdb.com/title/tt3170832/?ref_=ev_csegosc_nom,2016,1,0,0,0,1,0,0,0,0,0,0,29,4,1,2,1,7,1,8,2,0,0,2,0,1,0,3,5,4,2,7,2,27,9,40,50,11,14,6,4,3,28,17,6,12,0,5,2,1,0,0,0,47,38
Brooklyn,https://www.imdb.com/title/tt2381111/?ref_=ev_csegosc_nom,2016,1,0,0,0,0,0,1,0,0,0,0,49,4,1,7,4,4,3,10,0,0,0,0,0,0,0,3,0,0,0,9,2,20,1,39,15,16,9,25,6,2,18,31,13,6,0,9,2,1,1,0,0,32,16
Bridge of Spies,https://www.imdb.com/title/tt3682448/?ref_=ev_csegosc_nom,2016,1,0,1,0,0,0,1,0,0,0,0,174,4,3,6,3,8,2,18,2,1,3,3,2,0,4,5,1,0,0,3,4,29,8,46,27,13,18,5,2,2,11,32,11,8,8,4,1,1,1,1,1,48,65
The Martian,https://www.imdb.com/title/tt3659388/?ref_=ev_csegosc_nom,2016,1,0,0,0,0,0,1,0,0,0,0,68,7,1,7,1,15,1,17,3,0,0,2,0,2,0,7,4,5,1,13,2,52,15,81,67,26,18,12,6,3,19,53,14,31,3,12,5,6,0,1,0,68,72
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=ev_csegosc_nom,2016,1,0,0,0,1,0,1,0,0,0,0,80,2,1,4,1,3,0,7,13,0,0,0,0,0,0,4,2,0,2,5,1,41,7,52,19,14,4,12,3,4,15,16,6,17,4,8,3,0,0,6,0,36,26
The Big Short,https://www.imdb.com/title/tt1596363/?ref_=ev_csegosc_nom,2016,1,0,1,0,0,0,1,1,1,0,0,202,13,4,9,1,18,5,24,3,0,0,4,2,3,2,19,4,5,5,19,4,101,20,105,69,30,19,17,5,14,38,68,22,163,32,29,5,2,1,16,8,198,141
