award_show,count
"Dublin International Short Film and Music Festival, IE",2
ELLE Style Awards,2
EarthX Film Festival,2
East Lansing Film Festival,2
Easterseals Disability Film Challenge,2
Eberswalde Film Festival,2
El Encuentro Latino Film festival,2
Emerging Screenwriters Screenplay Competition,2
Ennesimo Film Festival,2
"European Film Festival, Moscow",2
European International Film Festival,2
European Youth Film Festival,2
Evolution International Film Festival,2
FACINE Filipino International Cine Festival,2
FAMAS Awards,2
FFTG Awards,2
FOCAL International Awards,2
Family Television Awards,2
Feratum Film Festival,2
Ferrara Film Festival,2
Festival Angaelica,2
Festival Internacional de Cine en Ensenada,2
Filem'on: International Children's Film Festival Brussels,2
"Film Comment Magazine, USA",2
Film Festival Cologne,2
FilmInk Awards,2
Filmfare Awards East,2
Filming Italy Los Angeles Festival,2
Filmmatic Filmmaker Awards,2
Filmstock International Film Festival,2
"First Steps Awards, Germany",2
First Women Film Festival,2
Fort Myers Beach Film Festival,2
Fort Myers Film Festival,2
Freewheeling Film Awards,2
French Riviera Film Festival,2
FrightFest,2
G-Phoria Awards,2
GMA Dove Awards,2
Galway Film Fleadh,2
Genesis Awards,2
Geneva International Film Festival - Tous Écrans,2
German Critics Association Awards,2
Global Film Festival LA,2
"Golden Cable, Germany",2
Golden Crane Award,2
Golden Gate International Film Festival,2
Golden Sparrow International Film Festival,2
"Golden and Platin Film, Netherlands",2
Gracie Awards (Alliance of Women in Media),2
Gran Premio Internazionale del Doppiaggio,2
Grand Off World Independent Film Awards,2
Greece International Film Festival,2
Guangzhou Student Film Festival,2
HYBRIDGENRE USA Los Angeles Film Awards,2
Haydenfilms 5.0 Online Film Festival,2
Hengdian Film Festival of China,2
"Hermosillo International Film Festival, Mexico",2
Hip Hop Film Festival,2
Hollywood Boulevard Film Festival,2
Hollywood Comedy Shorts Film Festival,2
Hollywood Jumbo Film & Screenplay Festival,2
Hollywood Series,2
Honolulu International Festival (II),2
Hudson Valley International Film Festival,2
Huesca Film Festival,2
Humboldt International Film Festival,2
Humro Cinema,2
Hungarian Film Critics Awards,2
I Will Tell International Film Festival,2
INDO-GLOBAL International Film Festival,2
Ignite Film Festival,2
Imagine This women's International Film Festival,2
Independent Days,2
Indian International Short Film Festival Awards,2
Indian Movie Awards,2
Indianapolis International Film Festival,2
Indie Suspense Horror Sci-Fi Film Festival,2
Indie Vegas Film Festival,2
Indiefare International Film Festival,2
International Film Festival Manhattan,2
"International Film Festival for Peace, Inspiration and Equality",2
International Film Festival of Australia,2
International Monitor Awards,2
International Short Film Festival of Bueu (FICBUEU),2
International Sound & Film Music Festival (ISFMF),2
International World Film Awards,2
Iowa Motion Picture Awards (IMPA),2
Iqiyi TV and Movie Awards,2
Irish Film Festival London,2
Irvine International Film Festival,2
Ischia Film Festival,2
Israel Film Festival,2
Jackson Crossroads Film Festival,2
Jackson Hole Film Festival,2
Jim Thorpe Independent Film Festival,2
Jussi Awards,2
KAPOW Intergalactic Film Festival,2
Kansas City Underground Film Festival,2
Katra Film Series,2
Key Art Awards,2
Kurdistan International Independent Film Festival,2
L'Etrange Festival,2
L.A. Punk Film Festival,2
LA Under the Stars Film Festival,2
Latitude Film Awards,2
Laugh or Die Comedy Fest,2
Leiria Film Fest,2
Life Fest Film Festival,2
Life Screenings International Film Festival,2
Lisbon Film Festival,2
Lithuanian Film Awards,2
Liverpool Underground Film Festival,2
Ljubljana International Film Festival,2
Lleida Latin-American Film Festival,2
London Director Awards,2
London Fashion Film Festival,2
London Film Week,2
London Web Fest,2
Lone Star Film Festival,2
Long Story Shorts International Film Festival,2
Los Angeles Area Emmy Awards,2
"Los Angeles Arthouse Film Festival, US",2
Los Angeles FirstGlance Film Festival,2
Los Angeles Independent Film Festival,2
"Los Angeles Italia Film Festival, US",2
"Los Angeles Reel Film Festival, US",2
Los Angeles Short Film Festival,2
Los Angeles Theatrical Release Competition & Awards,2
Louisiana Film Prize,2
Lower East Side Film Festival,2
Luchon International Film Festival,2
Luis Bunuel Memorial Awards,2
Lytham International Film Festival,2
Lübeck Nordic Film Days,2
Made in NY Awards,2
Madrid Art Film Festival,2
Madrid Arthouse Film Festival,2
Madrid Fashion Film Festival,2
Maine International Film Festival,2
Malaga French Film Festival,2
Marina Del Rey Film Festival,2
Melbourne City Independent Film Awards,2
"Melbourne Lift-Off Festival, Australia",2
Melbourne Webfest,2
Merlinka Festival,2
Miami Screenplay Awards,2
Micheaux Film Festival,2
Milan Short Film Festival,2
Minneapolis St. Paul International Film Festival,2
Molins Film Festival,2
Montreal International Wreath Awards Film Festival,2
Montréal Festival of New Cinema,2
Motovun Film Festival,2
Movie Play International Film Festival,2
MoziMotion,2
Music City Walk Of Fame,2
"NDTV Indian of the Year, IN",2
NTVA Avanti Awards,2
Naples International Film Festival,2
National Academy of Television Arts & Sciences - Pacific Southwest Chapter,2
"Nevada Film Festival, US",2
"New Horizons International Film Festival, Poland",2
New Jersey Horror Con and Film Festival,2
New Mexico Filmmakers Showcase,2
New Vision International Film Festival,2
New World Film Festival,2
New York CineFest,2
New York Comedy Festival,2
New York Film Festival,2
New York Polish Film Festival,2
NewFilmmakers New York,2
Nextgn International Short Film Festival,2
"Nickelodeon Kids' Choice Awards, India",2
Night of Comedy Shorts,2
Night of Drama Shorts,2
North American Film Awards,2
North Fork TV Festival,2
Northeast Film Festival Horror Fest,2
Norwegian International Film Festival,2
Nova Star Awards,2
OUTshine Film Festival,2
Ocean City Film Festival,2
Official Latino Film and Arts Festival,2
Ojai Film Festival,2
Open Gate International Film Festival,2
Open World Toronto Film Festival,2
Ouagadougou Panafrican Film and Television Festival,2
Ouchy Film Awards,2
Outflix Film Festival,2
OutlantaCon Short Film Festival,2
Pageant Film Festival,2
Pantalla de Cristal,2
Paperscreenplay,2
Paris International Film Festival,2
Paris Play Film Festival,2
Peachtree Village International Film Festival,2
Peñíscola Comedy Film Festival,2
Philadelphia International Filmmaker Awards,2
Pocono Mountains Film Festival,2
PollyGrind Underground Film Festival of Las Vegas,2
PopCon International Film Festival,2
Portland International Film Festival,2
Premiere New Power Awards,2
Premio Sergio Amidei,2
Premios Fénix (Fenix Film Awards),2
Premios India Catalina,2
Prescott Film Festival,2
Prix Henri Langlois,2
Pune International Film Festival (PIFF),2
Rahway International Film Festival,2
Rebelfest,2
Red Corner Film Festival,2
Reedy Reels Film Festival,2
Reggio Calabria Film Fest,2
Reims International Television Days,2
Rhode Island International Horror Film Festival,2
Rio de Janeiro Curta Cinema,2
Rio de Janeiro World Film Festival,2
"River Bend Film Festival, US",2
Rob Knox London Film Festival,2
Rochester International Film Festival,2
Rome Independent Film Festival,2
Romford Horror Festival,2
Rose d'Or,2
Roswell Film Festival,2
Russian Annual Horror Film Awards,2
SCREAM it off SCREEN,2
SIMI Film Fest,2
Sactown Movie Buffs Film Fest,2
Samskara International Film Festival,2
San Antonio Black International Film Festival,2
San Antonio Film Festival,2
San Diego International Film Awards,2
San Francisco Black Film Festival,2
San Francisco Indiefest,2
San Jose International Short Film Festival,2
San Mauro Film Festival,2
Sci-Fi Horror & Action Film Festival,2
Scream Queen Shockathon,2
Screaming Ostrich International Film Festival,2
Seoul Web Fest,2
Sheffield DocFest,2
"Shepparton Shorts Film Festival, US",2
ShockerFest,2
Short Stop International Film Festival,2
Shriekfest,2
Singapore International Film Festival,2
"Siouxland Film Festival, US",2
Skip City International D-Cinema Festival,2
Soberano,2
Sofia International Film Festival,2
Solaris Film Festival,2
South African Horrorfest,2
Spirit Quest Film Festival,2
Spookscreen Film Festival,2
Spooky Empire,2
Spotlight Film Awards,2
"St. Louis Filmmakers Showcase, US",2
Stage 32 Short Film Competition,2
Star Awards for Movies,2
Student World Impact Film Festival,2
Stuntman Awards,2
Sunny Bunny LGBTQIA+ Film Festival,2
Sweet Democracy Film Awards,2
SyFy Portal Genre Awards,2
Sydney Science Fiction Film Festival,2
Syracuse International Film Festival,2
THE CRITICS AWARDS FOR ARAB FILMS,2
THESS International Short Film Festival,2
TO Webfest,2
Tacoma Film Festival,2
Tallgrass International Film Festival,2
Tampa Bay Underground Film Festival,2
Tees Valley International Film Festival,2
Temecula Independent Film Festival of the Hollywood and Los Angeles California Wine Country,2
Temecula Valley International Film Festival,2
"Tenerife International Film Festival, ES",2
Terenci Moix International Award,2
Terror Film Festival,2
"The 48 Hour Film Project, Shanghai",2
The Alhambra Theatre Film Festival,2
The European Independent Film Festival,2
The Ghanta Awards,2
The Hague Movies that Matter Festival,2
The I AM Film Festival,2
The James Beard Awards,2
The Lift-Off Sessions,2
The Macoproject Film Festival,2
"The People's Film Festival, New York",2
The Pittsburgh Moving Picture Festival,2
The Saturn Awards,2
Thinking Hat Fiction Challenge,2
Tiburon International Film Festival,2
Tokyo Film Awards,2
Torino Underground Cinefest,2
Toronto Feedback Film Festival,2
Toronto Film Channel,2
Tryon International Film Festival,2
Underground Indie Film Festival,2
United International Film Festival,2
United States Motion Picture Alliance,2
Universe Multicultural Film Festival,2
University Film Festival of Korea,2
VDKUF Award - Verein Deutscher Kritiker Und Filmemacher,2
VIP Fest,2
Vienna Shorts,2
Viet Film Fest,2
Vimeo Festival & Awards (VFA),2
Washington Film Awards,2
West Bengal Film Journalists' Association,2
West Chester International Short Film Festival,2
West Coast International Film Festival,2
West Europe International Film Festival,2
Whistler Film Festival,2
White Deer International Film Festival,2
Wild West Film Festival,2
Wisconsin Film Festival,2
Wolf Media Festival,2
Women in Film Korea Festival,2
World Cine Fest,2
World Indie Film Awards,2
Youth Film Manual Annual Award,2
Zanzibar International Film Festival,2
Zee Gaurav Awards,2
Zepstone Film Awards,2
Zlín International Film Festival for Children and Youth,2
3D Creative Arts Awards,1
"48 Hour Film Project - Boston, MA",1
"48 Hour Film Project, Denver, CO",1
"48 Hour Film Project, Mexico City",1
"48 Hour Film Project, Miami/Ft. Lauderdale, Florida",1
"48 Hour Film Project, New York",1
"48 Hour Film Project, Toronto",1
6ix Screams International Horror Film Festival,1
9FilmFest,1
ABC Cinematography Award,1
ACTRA Montreal Short Film Festival,1
ADIFF Actors & Directors International Film Festival,1
AKUT - Amberger Kurzfilmwettbewerb,1
AM Egypt Film Festival,1
APKIT Awards,1
APRA Silver Scroll Awards,1
AREA51 FilmFest,1
ASEAN International Film Festival and Awards,1
Academy of Television Arts and Sciences College Television Awards,1
Achtung Berlin,1
Across the Globe Film Festival,1
Actress Universe,1
Adana Film Festival,1
Adelaide International Youth Film Festival,1
Adrian International Film Festival,1
Aegean Film Festival,1
After Hours Say It In Eight Student Film Festival,1
Aguilar de Campoo Short Film Festival,1
Ajijic International Film Festival,1
Ajyal Youth Film Festival,1
Albany FilmFest,1
Ale Kino! - International Young Audience Film Festival,1
Alfred I. duPont-Columbia University Awards,1
Alicante Film Festival,1
All Genre Screenplay Contest,1
All The Laughs Comedy Awards,1
Allentown Film Festival,1
Allywood Film Critics Association Awards,1
Alpe d'Huez International Comedy Film Festival,1
Alpha Film Festival,1
Always Late TV Movie Awards,1
Amarcord Chicago Arthouse Film Awards,1
Amarcort Film Festival,1
Amazonas Film Festival,1
American Advertising Awards,1
American Documentary Film Festival and Film Fund,1
"American Filmatic Arts Awards, Brooklyn",1
American Indian LA Film and TV Awards,1
American Reality Television Awards,1
American Youth Film Festival,1
Amsterdam Film Festival,1
Amsterdam International Film Festival,1
Amsterdam Movie Fest,1
Amsterdam World International Film Festival,1
Anatomy Crime and Horror Film Festival,1
Anifilm International Festival of Animated Film,1
Animation Dingle,1
Anime Trending Awards,1
Ankara Flying Broom International Women's Film Festival,1
Ankara International Film Festival,1
Ann Arbor Film Festival,1
Annonay International Festival of First Films,1
Anonimul International Independent Film Festival,1
"Antena de Oro, Spain",1
Appalachian Film Festival,1
Apulia Soundtrack Awards,1
Arcipelago - International Festival of Short Films and New Images,1
Arizona Black Film Showcase,1
Art Blocks International Film Festival,1
Art Color Digital Cinema International Film Festival (AC DC IFF),1
Arte Non Stop Film Festival,1
Artist's Choice Award,1
Asha International Film Festival,1
Aspen Filmfest,1
Asti Film Festival,1
"Athens International Film and Video Festival, Ohio, USA",1
Atlanta After Dark Film Festival,1
Atlanta Award-Qualifying Film Festival,1
Atlanta Comedy Film Festival,1
Atlanta Horror Film Festival,1
Atlanta International Screenplay Awards,1
Atlanta Micro Short Film Festival,1
Atlanta Sci-Fi Film Festival,1
Atlanta Spotlight Film Festival,1
Atlanta Underground Film Festival,1
Atlanta Women's Film Festival,1
AtomaCon,1
Auckland International Film Festival,1
Austin Action Fest & Market,1
Austin Gay & Lesbian International Film Festival,1
Austin Indie Fest,1
Austin Lift-Off Film Festival,1
Austin Micro Short Film Festival,1
Austin Spotlight Film Festival,1
Autrans Mountain Film Festival,1
Azeméis Film Festival,1
BAFTA/LA Student Film Awards,1
BBC Four World Cinema Awards,1
"BEFTTA Awards, UK",1
BELIFF - Be Epic! London International Film Festival,1
BFE Cut Above Awards,1
BFI Future Film Festival,1
BLASTOFF Los Angeles Film Festival,1
BOGOSHORTS Bogota Short film Festival,1
BSFF - Bucharest Short Film Festival,1
Bali International Film Festival (aka BALINALE),1
Baltimore International Black Film Festival,1
Barcelona International Television Festival,1
Bari Under The Stars Film Festival,1
Barnes Film Festival,1
Barrie Film Festival,1
Barrymore Film Center Short Film Festival,1
Batumi International ArtHouse Film Festival,1
BeFilm - The Underground Film Festival (BTUFF),1
Bel Air Film Festival,1
Belfast Film Festival,1
Belgian Film Press Union,1
Belgrade International Film Festival,1
Belize International Film Festival,1
Bellaria Film Festival (BFF),1
Belo Horizonte International Film Festival,1
Bergamo Film Meeting,1
Berlin Fashion Film Festival,1
Berlin New Wave Film Festival,1
Bermuda International Film Festival,1
Best Script Award,1
Best Script Awards,1
Best Short Fest,1
Bestlov Film Festival,1
Beverly Hills Shorts Festival,1
Beyond borders,1
Biarritz International Festival of Latin American Cinema,1
Big Easy International Film Festival,1
Big Fandom Film Festival,1
Big Water Film Festival,1
Biografilm Festival,1
BizarroLand Film Festival,1
Black Sea Film Festival,1
Bloody Hats Film Festival,1
Bluegrass Independent Film Festival,1
"Bollywood Hungama Surfers' Choice Music Awards, IN",1
Bordeaux International Festival of Women in Cinema,1
Borderscene Film Festival,1
Borrego Springs Film Festival,1
Boston Independent Film Festival,1
Boston International Kids Film Festival,1
Brainwash Movie Festival,1
Brand Vision Summit Awards,1
Brandenburg International Film Festival,1
Breaking TV Film Festival,1
Brest European Short Film Festival,1
Bridgeport Film Festival,1
Brighton Rocks International Film Festival,1
British Academy Children's Awards,1
British Arrows,1
British Urban Film Festival,1
British Web Awards,1
Brooklyn Film Festival,1
Brooklyn International Short Film Festival,1
Brussels Short Film Festival,1
Bucharest Film Awards,1
Bucharest International Film Festival,1
Buenos Aires Festival Internacional de Cine Independiente,1
Buenos Aires Web Fest,1
Bujtor Istvan Film Festival Hungary,1
Busan New Wave Film Festival,1
Business and Financial Reporting Emmy Awards,1
Butaca Awards,1
Butff B-Movie Underground & Trash Film Festival,1
CINDY Awards,1
CINE Golden Eagle Film and Video Competition,1
CINESIS Independent FilmFest,1
CIVIS Media Prize,1
CMF Hollywood (Campus MovieFest),1
CNN-IBN Indian of the Year,1
CPH PIX,1
Ca' Foscari Short Film Festival,1
Caleidoscope Indian Film Festival,1
Calgary Indie Film Awards,1
Calgary Underground Film Festival,1
Cambridge Film Festival,1
Camgaroo Award,1
Canadian Videogame Awards,1
Canberra Short Film Festival,1
Cannes Arts Film Fest,1
Cannes International Series Festival (CannesSeries),1
Cannes International Shorts Festival,1
Cannes Lions International Festival of Creativity,1
Capital City Black Film Festival,1
Capital City Film Festival,1
"Capricorn Film Festival, Australia",1
Caravan International Film Festival,1
Cardiff International Film Festival,1
Carrousel International du Film,1
Casablanca Film Factory Awards,1
Catfish Shorts!,1
Cayenne Short Film Festival,1
Cayman Islands International Film Festival,1
Cedar Rapids Independent Film Festival,1
Cefalù Film Festival,1
Central Coast International Film Festival,1
Centre Film Festival,1
Chagrin Documentary Film Festival,1
Chalachitra International Film Awards,1
Charlotte Film Festival,1
Chicago Critics Film Festival,1
Chicago Gay and Lesbian International Film Festival,1
Chicago/Midwest Emmy Awards,1
Chichester International Film Festival,1
Children's Film Festival Seattle,1
China Film Critics Association Award,1
China Television Drama Production Industry Association Awards,1
Chita Rivera Awards,1
Chunyan Awards,1
Cincinnati International Film Festival,1
Cine Gear Expo,1
Cine Paris Film Festival,1
CineForte - Mostra Audiovisual de Cabedelo,1
CineMagic Film Fest,1
CineSol Film Festival,1
CineStory,1
Cineddiction Spotlight Film Awards,1
Cinekid,1
CinemAvvenire Film Festival,1
Cinema on the Bayou Film Festival,1
Cinemania Film Festival,1
Cinepocalypse,1
Cineuropa,1
Cinoche - Festival du film international de Baie-Comeau,1
Cinénygma - Luxembourg International Film Festival,1
Cleveland Arthouse Film Awards,1
Close Film Festival,1
Coca-Cola Refreshing Filmmaker's Award,1
Coconut Grove Film Festival,1
Coimbra Caminhos do Cinema Português,1
"Colony Film Festival, US",1
Color's of Love International Queer Film Festival,1
"Colorado Film Festival, US",1
"Colortape Film Festival, AUS",1
Columbus International Film and Animation Film Festival,1
Comedy.co.uk Awards,1
Comicpalooza Film Festival,1
Communicator Awards,1
Copenhagen TV Festival,1
Copihue de Oro,1
Cosmic Film Festival,1
Costa Brava Film Festival,1
Costa Rica International Film Festival,1
"Court-Médie, France",1
Covellite International Film Festival,1
Creative World Awards,1
Crested Butte Film Festival,1
"Critics’ Choice Shorts and Series Awards, India",1
Croatian International Film Festival,1
Crown International Film Festival,1
Crunchyroll Anime Awards,1
Cuckoo International Film Awards,1
Cyprus International Film Festival,1
Czech Critics Awards,1
DC Black Film Festival,1
DC Independent Film Festival,1
DGA Student Awards,1
DMViFF,1
DOC NYC,1
DROP: Russian International Horror Film Festival and Awards,1
DTLA Film Festival,1
DaVinci Film Festival,1
Dallas Independent Film Festival,1
Dallas Movie Awards Festival,1
Dam Short Film Festival,1
Damah Film Festival,1
Damascus Film Festival,1
Deauville Asian Film Festival,1
"Delhi International Film Festival, IN",1
"Delhi Shorts International Film Festival, IN",1
Deluxe Film Festival,1
Denver Monthly Film Awards,1
Denver Underground Film Festival,1
Derby City Film Festival,1
Desertscape International Film Festival,1
Desperado LGBT Film Festival,1
Detaron TV Awards,1
Detaron TV Quarterly festival Showcase,1
Detroit Independent Film Festival,1
Deutscher Comedypreis,1
Devour! The Food Film Fest,1
Diabolical Horror Film Festival,1
"Diagonale, Austria",1
Dickens Horror Film Festival,1
Die Laughing Film Festival,1
DigiFest,1
Digital Griffix film festival,1
Digital Reinvent Awards,1
Dili International Film Festival,1
Dingle International Film Festival,1
Direct Short Online Film Festival,1
Disappear Here Film Festival,1
Diverse Voices,1
Diversity Film Festival & Table Read Screenplays,1
Dixie Film Festival,1
DocLands Documentary Film Festival,1
Donosskino film festival,1
Down East Flick Fest,1
Downtown Tyler Film Festival,1
Dreamspeakers International Film Festival,1
Dresden Cinema Awards,1
Drunken Zombie Film Festival,1
Dubai International Cine Carnival Film Festival,1
Dublin Independent Film Festival,1
Dublin Movie Awards,1
Dungog Film Festival,1
Durango Film Festival,1
EOTM Awards,1
ETC Bollywood Business Awards,1
Eastern NC Film Festival,1
Eat My Shorts – Hagener Kurzfilmfestival,1
Ebertfest,1
Edera Film Festival,1
Edinburgh TV Awards,1
Edmonton International Film Festival,1
Eerie Horror Fest,1
Eko International Film Festival,1
Ekurhuleni International Film Festival,1
El Paso Film Festival,1
Emerald Peacock Film Festival,1
Encounters International Film Festival,1
Entertainment Editors' Choice Awards,1
Entretenews Awards,1
Enzian FilmSlam,1
Erie International Film Festival,1
Ethereal Horror Fest,1
Eurasia Fest International Film Festival,1
Euregio Filmball,1
EuroCine Film & Screenwriting Festival,1
Eurovision Palermo Film Festival,1
Eutopia Arthouse Film Festival by the Queen's University Belfast,1
Experimental Film Festival,1
Experimental Forum,1
FAIF International Film Festival,1
FANCINE Fantastic Film Festival of the University of Málaga,1
"FAP Awards, Philippines",1
FEARnyc,1
FESTICINI - International Independent Film Festival,1
FLICKFAIR On demand Film Festival,1
FMF Krakow Film Music Festival,1
"Fant, Bilbao Fantasy Film Festival",1
Fantasmagoría - Festival de Cine Fantástico y de Terror de Medellìn,1
Fantaspoa International Fantastic Film Festival,1
Fantastic Fest,1
Fantastic Planet Film Festival,1
Fantasy Filmfest,1
Fantasy/Sci-Fi Film & Writing Festival,1
Fastnet Short Film Festival,1
Feedback Toronto Comedy Film and Screenplay Festival,1
"Feel Good Film Festival, Hollywood",1
Feitian Television Awards,1
Female Voices Rock Film Festival,1
"Festin Lisboa Film Festival, PT",1
"Festival Alto Vicentino, IT",1
Festival Aruanda do Audiovisual Brasileiro,1
Festival Audiovisual de Campina Grande - Comunicurtas UEPB,1
Festival Européen du Film Court de Nice,1
Festival Européen du Film Fantastique de Strasbourg (FEFFS),1
Festival Internacional de Cine de Punta del Este,1
Festival Internacional de Cine de Viña del Mar,1
Festival International Music & Cinema Marseille,1
Festival International du Film Indépendant de Bordeaux (Fifib),1
Festival Internazionale del Cortometraggio 'O Curt,1
Festival Jean Carmet,1
Festival Mix Brasil,1
Festival Santa Cruz de Cinema,1
Festival de Cinema Curta Caicó,1
Festival de Cinema Luso-Brasileiro de Santa Maria da Feira,1
Festival de Cinema da Fronteira,1
Festival de Cinema de Trancoso,1
Festival de cine de Zaragoza,1
Festival de cinema de Girona,1
Festival du Film Francophone d'Angoulême (FFA),1
Festival du nouveau cinéma,1
Festival internacional de cine fantástico de Torremolinos,1
"Festival of Fantastic Films, UK",1
Festival of German Film,1
"Festival of Nations, Austria",1
Fighting Spirit Film Festival,1
Figueira da Foz International Film Festival,1
Film City Virtual Film Festival,1
Film Critical Space Awards,1
Film Fest Tucson,1
Filmatic Drama Screenplay Awards,1
Filmets - Badalona Film Festival,1
Filmfare Awards South,1
Filmfest Ludwigsburg,1
Filmfestival Max Ophüls Preis,1
Filmkunsttage Sachsen-Anhalt,1
Filmmatic Drama Screenplay Awards,1
Filmnest International Film Festival,1
Filmovia International Film Festival,1
Filmski Festival Herceg Novi - Montenegro Film Festival,1
Filmstrip International Film Festival,1
Fimucite Festival Internacional de Musica de Cine de Tenerife,1
Finish Line Script Competition,1
Fire Island Film Festival,1
Firenze FilmCorti,1
First-Time Filmmaker Sessions,1
Flagstaff International Film Festival,1
Flamingo Film Festival,1
Folkestone Short Film Festival,1
Foothills Film Festival,1
Forest City Film Festival,1
Fort Collins TriMedia Festival,1
Fort Worth Bizarre Film Festival,1
Franklin International Independent Film Festival,1
Freak Show Horror Film Festival,1
Freedom Festival International,1
Friars Club Comedy Film Festival,1
Fright Nights,1
GI Film Festival - San Diego,1
"GI Film Festival - Washington, DC/Virginia",1
GOSH! International Film Festival,1
GainesCon,1
"Galactic Film Festival, US",1
Galaxy Film Awards,1
Gallup Film Festival,1
Game Audio Network Guild Awards,1
GayVN Awards,1
GeekFest Film Festival,1
Genesis International Film Festival,1
"Geneva Film Festival (GFF), US",1
Georgia Latino International Film Festival,1
Germany International Film Festival,1
Giallo International Film Festival,1
Gig Harbor Film Festival,1
Gimli Film Festival,1
Glen Rose Neo-Relix Film Festival,1
Global INDIE Filmmaker Awards,1
Global India International Film Festival,1
Global Indian Film Festival,1
Global Indian Music Awards,1
Global Indie Film Fest,1
"Global Visions Festival, CA",1
Glowflare Short Film Festival,1
Gold Coast International Film Festival,1
Golden Apricot Yerevan International Film Festival,1
Golden Clapperboard - Short Film Competition of the Hessian Police,1
Golden Knight Film Festival,1
Golden Maple Awards,1
Golden Nugget International Film Festival,1
"Golden Phoenix Awards, China",1
"Golden Sacher Awards, Italy",1
Golden Short Film Festival,1
Golden Trailer Awards,1
Gothamite Monthly Film Awards,1
Grabbys Awards,1
Gralha International Monthly Film Awards,1
Granada Film Festival Cines del Sur,1
Grand Junction Film Festival,1
Grazia Millennial Awards,1
Green Bay Film Festival,1
Green Mountain Christian Film Festival,1
Greenpoint Film Festival,1
Greenwich Village Film Festival,1
Grierson Awards,1
Grindhouse Nights Film Festival,1
Guam International Film Festival,1
Guanajuato International Film Festival,1
Gully International Film Festival,1
Gwinnett Center International Film Festival,1
HALO International Film Festival,1
HOLA Awards,1
Halloweenapalooza,1
"Hamilton Behind the Camera Awards, China",1
Hamilton New York International Film Festival,1
Hanoi International Film Festival,1
Happenstance Horror Fest,1
Harlem International Film Festival,1
Hawaii European Cinema Film Festival,1
Heart Of Europe International Monthly Film Festival (HEI),1
Heathcote Film Festival,1
Hermes Creative Awards,1
Hessian Film Award,1
Highland Park Independent Film Festival,1
Hispanic Film Festival,1
Holebikort Short Film Contest,1
Hollywood Critics Association Creative Arts Awards,1
Hollywood Independent Filmmaker Awards and Festival,1
Hollywood Independent Short Film Festival,1
Hollywood Just4Shorts,1
Hollywood Makeup and Hairstylists Guild Deb Star Awards,1
Hollywood MiniDV Festival,1
Hollywood New Directors,1
Hollywood Park Film Festival,1
Hollywood Professional Association Awards,1
Hollywood Short Film Festival,1
Hollywood Shortsfest,1
Hollywood Silver Screen Festival,1
Home Media Magazine Awards,1
Hong Kong Directors Guild Awards,1
Hong Kong International Film Carnival,1
Hong Kong International Film Festival,1
Hong Kong Screenwriters' Guild Awards,1
Hong Kong Society of Cinematographers (HKSC) Awards,1
Honolulu International Festival (I),1
Honolulu Rainbow Film Festival,1
Honor Film Festival,1
Horror Host Hall Of Fame,1
HorrorFest International,1
HorrorOrigins Film Festival,1
HorrorQuest Film Festival,1
Houston Latino Film Festival,1
Hungarian Film Week,1
Hungarian Motion Picture Awards,1
Hunter Mountain Film Festival,1
Huntington Beach Cultural Cinema Showcase,1
ICECineFest,1
IGN Awards,1
Iconic Gold Awards,1
Illinois International Film Festival (IIFF),1
Imaginarium Film Festival,1
"Imagine Film Festival, NL",1
India International Film Festival of Boston,1
Indian Film Festival of Los Angeles,1
Indian World Film Festival,1
Indie Fest USA International Film Festival,1
Indie Filmmaker Awards,1
Indie Meme Film Festival,1
Indie Memphis Film Festival,1
IndieVille TV Awards,1
Indigo Moon Film Festival,1
Inside Out Toronto LGBT Film Festival,1
Institut Lumière,1
"Intendence Film Festival, US",1
International Black Film Festival of Nashville,1
International Crime and Punishment Film Festival,1
"International Festival of Historical Films ""Beyond Time""",1
International Film Awards Berlin,1
International Film Festival and Forum on Human Rights,1
"International Film Festival for Women, Social Issues, and Zero Discrimination",1
International Film Festival of Cinematic Arts Los Angeles,1
"International Film Festival: Spirituality, Religion, and Visionary",1
International Film Society Critics Association,1
International Mobil Film Festival,1
International Monthly Film Festival,1
International Music Video Awards,1
International Online Web Fest,1
International Queer Film Festival Playa Del Carmen,1
International Short Film Festival Pune,1
International Star Film Festival Awards,1
International Symbolic Art Film Festival,1
International Thai Film Festival,1
International Women's Film Festival,1
International World Photography Awards,1
Interurban Film Festival,1
Iron Mule Short Comedy Screening Series,1
Istanbul Movie Awards,1
Ivor Novello Awards,1
JIFF Japan Indies Film Festival,1
Jackie Chan International Action Film Week,1
Jackson Doc Fest,1
Jacob's Awards,1
Jagran Film Festival,1
Jaisalmer International Film Festival,1
Jakarta International Film Festival,1
Jane Austen International Film Festival,1
Janjira International Film Festival,1
Japanese Professional Movie Awards,1
Jharkhand International Film Festival & Awards,1
José Ignacio International Film Festival,1
K Asif Chambal International Film Festival,1
Kalasha International Film and TV Awards,1
Kalpanirjhar International Short Fiction Film Festival,1
Kansas City FilmFest,1
Kansas International Film Festival,1
Kering Women In Motion Awards,1
Killuride Film Festival,1
Kimera International Film Festival,1
Kingston Reelout Film Festival,1
Knoxville International Christian Film Festival,1
Kollywood International Film Festival,1
Kookai International Film Festival,1
Kristiansand International Children's Film Festival,1
Kudzu Film Festival,1
Kyiv International Film Festival,1
LA CineFest Film Festival,1
LA Independent Women Film Awards,1
LGBTQ Unbordered Film Festival,1
