award_show,count
LA Shorts Awards,10
Los Angeles International Screenplay Awards,10
MTV MIAW,10
Melbourne International Film Festival,10
NZ TV Awards,10
"National Film Awards, India",10
New Orleans Film Festival,10
New Renaissance Film Festival,10
Palm Springs International ShortFest,10
Queens World Film Festival,10
Rio WebFest,10
San Diego Film Festival,10
San Francisco Film Awards Night,10
Santa Fe Film Critics Circle Awards,10
Sarajevo Film Festival,10
Sidewalk Film Festival,10
Silicon Beach Film Festival,10
The British Short Film Awards,10
Travancore International Film Award,10
Wallachia International Film Festival,10
Baden-Baden TV Film Festival,9
Bafta TV Craft,9
Banff Television Festival,9
Blow-Up Chicago International Arthouse Film Fest,9
Canada International Film Festival,9
Chelsea Film Festival,9
Chinese American Film Festival (C.A.F.F.),9
Christian Online Film Festival (COLFF),9
Cinema World Fest Awards,9
Côté Court Festival,9
Dubai International Film Festival,9
"Edda Awards, Iceland",9
First Glance Film Festival,9
FirstGlance Film Fest Hollywood,9
Golden Tomato Awards (Rotten Tomatoes),9
Gullruten,9
Haifa International Film Festival,9
Hamburg Film Festival,9
Hollywood International Moving Pictures Film Festival,9
Hollywood South Film Festival,9
Hong Kong Indie Film Festival,9
Huabiao Film Awards,9
International Cinephile Society (ICS) Cannes Awards,9
Kinodrome Festival,9
Kristallen,9
L.A. Outfest,9
LA Femme International Film Festival,9
Las Palmas Film Festival,9
Location Managers Guild International Awards (LMGI),9
"Los Angeles Cinema Festival of Hollywood, US",9
"MTV Movie Awards, Latin America",9
Marietta International Film Festival,9
Medusa Film Festival,9
Mexico International Film Festival,9
Monaco International Film Festival,9
Montclair Film Festival (MFF),9
New York Festivals,9
New York Long Island Film Festival,9
Next Generation Indie Film Awards,9
Nightmares Film Festival,9
Paris Art and Movie Awards,9
Premios TVyNovelas,9
Rohip International Film Festival,9
Rotterdam Independent Film Festival,9
Royal Society of Television & Motion Picture Awards,9
"SENE Film, Music and Art Festival",9
San Diego Black Film Festival,9
Sansui Viewer's Choice Awards,9
"Screenwriters Choice Awards, Online",9
Shanghai International TV Festival,9
Show Low Film Festival,9
Society of Filipino Film Reviewers,9
"Studio City Film Festival, US",9
Tekka International Film Festival,9
Terror in the Bay Film Festival,9
Tokyo International Monthly Film Festival,9
Toronto International Nollywood Film Festival,9
Wild Rose Independent Film Festival,9
Wyoming International Film Festival,9
Abu Dhabi Film Festival,8
Amiens International Film Festival,8
Anatolia International Film Festival,8
"Annual Central European Bollywood Awards, India",8
Argentinean Film Critics Association Awards,8
Atlanta Film Festival,8
"Back in the Box, California",8
Barcelona-Sant Jordi International Film Festival,8
Be Epic! London International Film Festival,8
Berlin Shorts Award,8
Best Shorts Award,8
Bloodstained Indie Film Festival,8
Boulder International Film Festival,8
Busan Film Critics Association (BCFA),8
California Film Awards,8
Canada Shorts Film Festival,8
Central Florida Film Festival,8
Chéries-Chéris,8
Cine21,8
CineVegas International Film Festival,8
Csapnivalo Awards,8
Dallas International Film Festival,8
Downtown Film Festival Los Angeles,8
Eastern Europe Film Festival,8
Fantafestival,8
Fantasia Film Festival,8
Florida Film Festival,8
Gangtok International Film Festival,8
Gasparilla International Film Festival,8
Glendale International Film Festival,8
Golden Lion International Film Festival,8
Golden State Film Festival,8
Great Lakes Film Festival,8
Hollywood Verge Film Awards,8
Horrorhaus Film Festival,8
IBNLive Movie Awards,8
Las Vegas International Film & Screenplay Festival,8
London Independent Film Awards,8
London International Monthly Film Festival,8
MBC Drama Awards,8
MLC Awards,8
