title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
King Richard,https://www.imdb.com/title/tt9620288/?ref_=ev_csegosc_nom,2022,1,0,0,0,1,0,1,0,1,0,0,101,4,1,1,1,7,2,22,3,0,0,0,0,1,0,5,1,0,0,7,2,19,1,45,12,4,4,1,2,9,35,31,8,36,19,14,2,1,0,5,3,65,49
Drive My Car,https://www.imdb.com/title/tt14039582/?ref_=ev_csegosc_nom,2022,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Look Up,https://www.imdb.com/title/tt11286314/?ref_=ev_csegosc_nom,2022,1,0,1,0,1,0,1,0,1,1,0,215,7,2,8,2,7,1,10,0,0,0,3,0,0,0,6,3,1,4,5,3,45,17,132,77,37,28,18,8,0,25,38,8,35,18,16,5,2,3,2,1,125,132
Nightmare Alley,https://www.imdb.com/title/tt7740496/?ref_=ev_csegosc_nom,2022,1,0,0,0,0,0,0,0,0,0,0,83,11,1,7,1,11,0,12,2,2,0,1,0,3,0,9,1,6,5,7,5,65,14,168,96,38,30,15,8,0,45,31,8,21,3,14,4,5,3,3,1,123,100
Nomadland,https://www.imdb.com/title/tt9770150/?ref_=ev_csegosc_nom,2021,1,1,1,1,1,1,1,1,0,0,1,260,1,3,2,3,4,1,1,3,0,0,0,0,0,1,2,3,1,2,3,2,11,7,40,51,11,12,4,2,0,4,4,9,0,1,4,1,2,0,2,0,25,19
Mank,https://www.imdb.com/title/tt10618286/?ref_=ev_csegosc_nom,2021,1,0,0,0,1,0,1,0,0,0,0,155,2,1,2,2,1,1,7,2,0,0,0,0,0,0,3,3,2,0,2,3,20,4,29,19,6,5,8,6,3,9,16,2,4,1,3,3,3,3,1,0,21,12
The Trial of the Chicago 7,https://www.imdb.com/title/tt1070874/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,1,1,0,153,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,0,0,0,0,18,23,1,2,2,1,2,0,0,0,0,0,27,45
Promising Young Woman,https://www.imdb.com/title/tt9620292/?ref_=ev_csegosc_nom,2021,1,0,1,0,1,0,1,0,0,0,0,42,4,1,2,3,8,0,14,6,1,1,0,2,1,0,8,2,2,5,10,5,50,7,103,67,20,14,14,4,8,16,40,10,11,4,5,1,8,4,1,0,73,54
Minari,https://www.imdb.com/title/tt10633456/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,1,0,0,32,0,1,1,1,0,0,6,1,0,0,0,0,0,0,1,1,1,1,1,0,9,1,12,27,2,5,0,0,8,33,1,2,0,0,2,0,0,0,0,0,45,46
Sound of Metal,https://www.imdb.com/title/tt5363618/?ref_=ev_csegosc_nom,2021,1,0,0,0,0,0,1,0,0,0,0,33,2,0,3,0,2,0,3,0,0,0,0,0,0,0,2,0,1,2,0,1,17,4,41,34,14,5,12,2,11,18,10,3,3,1,3,1,0,0,0,0,38,21
